ID,Days,Name,AcIn,DA,EA,EO,DA_order,SatWeekDay,SunWeekDay,Sent,groupType
190,,D3-By5thBusiness Day,True,True,True,True,99,False,False,False,0
191,,SG- Next Flight Out,True,True,True,True,99,False,False,False,0
192,,IC,False,True,True,True,0,False,False,False,0
193,,FRT LCL EXP,True,False,False,True,0,False,False,True,0
194,,FRT FCL EXP,True,False,False,True,0,False,False,True,0
195,,FRT LCL IMP,True,False,False,True,0,False,False,True,0
196,,FRT FCL IMP,True,False,False,True,0,False,False,True,0
197,,SVCS LCL EXP,True,False,False,True,0,False,False,True,0
198,,SVCS FCL IMP,True,False,False,True,0,False,False,True,0
199,,SVCS LCL IMP,True,False,False,True,0,False,False,True,0
200,,SVCS FCL EXP,True,False,False,True,0,False,False,True,0
201,,LIVE ANIMALS,True,True,True,False,0,False,False,False,0
