ID,Days,Name,AcIn,DA,EA,EO,DA_order,SatWeekDay,SunWeekDay,Sent,groupType
148,0,WILL CALL,TRUE,TRUE,FALSE,FALSE,0,TRUE,TRUE,TRUE,22
149,,Puerto Rico,TRUE,TRUE,FALSE,FALSE,99,FALSE,FALSE,TRUE,1
150,,Panama,TRUE,TRUE,FALSE,FALSE,99,TRUE,TRUE,TRUE,1
151,0,Schedule,TRUE,TRUE,FALSE,FALSE,0,TRUE,TRUE,TRUE,21
152,3,WeekEnd Saver,TRUE,TRUE,FALSE,FALSE,99,TRUE,TRUE,TRUE,5
153,,FD Service,TRUE,TRUE,FALSE,FALSE,99,FALSE,FALSE,TRUE,7
154,,RO/RO,TRUE,FALSE,FALSE,TRUE,99,FALSE,FALSE,TRUE,15
155,,Rail Moves,TRUE,TRUE,FALSE,FALSE,99,FALSE,FALSE,TRUE,11
156,,LTL Collect,TRUE,TRUE,TRUE,TRUE,99,FALSE,FALSE,TRUE,6
157,,Ground Collect,TRUE,TRUE,TRUE,TRUE,99,FALSE,FALSE,TRUE,20
158,7,Residential,TRUE,TRUE,FALSE,FALSE,99,FALSE,FALSE,TRUE,9
159,,REBILL,TRUE,TRUE,TRUE,TRUE,99,FALSE,FALSE,TRUE,11
160,4,4-5 DAY,TRUE,TRUE,FALSE,FALSE,99,FALSE,FALSE,TRUE,5
161,,APPOINTMENT,TRUE,TRUE,FALSE,FALSE,99,FALSE,FALSE,TRUE,9
162,,DEL ON,TRUE,TRUE,TRUE,TRUE,99,FALSE,FALSE,TRUE,5
163,,DEL BY,TRUE,TRUE,TRUE,TRUE,99,FALSE,FALSE,TRUE,5
164,,LOCAL (INTL),TRUE,FALSE,TRUE,FALSE,99,FALSE,FALSE,TRUE,12
165,,SCH Puerto Rico,TRUE,TRUE,FALSE,FALSE,99,FALSE,FALSE,TRUE,21
166,,Ground Expedite,TRUE,TRUE,TRUE,TRUE,99,FALSE,FALSE,TRUE,20
167,,Next Day PM,TRUE,TRUE,TRUE,TRUE,99,FALSE,FALSE,TRUE,2
168,,VIP,FALSE,TRUE,TRUE,TRUE,99,FALSE,FALSE,TRUE,9
169,,AIR EXPRESS,FALSE,TRUE,TRUE,TRUE,99,FALSE,FALSE,TRUE,2
170,9,Ground,TRUE,TRUE,FALSE,FALSE,99,TRUE,TRUE,TRUE,20
171,,THRESHOLD +,FALSE,TRUE,FALSE,FALSE,99,FALSE,FALSE,TRUE,9
172,,WHT GLOVE 1 PERSON,FALSE,TRUE,FALSE,FALSE,99,FALSE,FALSE,TRUE,9
173,,WHT GLOVE 2 PERSON,TRUE,TRUE,FALSE,FALSE,99,FALSE,FALSE,TRUE,9
174,,WHT GLOVE 1 PERSON +,TRUE,TRUE,FALSE,FALSE,99,FALSE,FALSE,TRUE,9
175,,WHT GLOVE 2 PERSON +,FALSE,TRUE,FALSE,FALSE,99,FALSE,FALSE,TRUE,9
176,,BLANKET WRAP,TRUE,TRUE,FALSE,FALSE,99,FALSE,FALSE,TRUE,9
177,,LTL- Refrigerated,FALSE,TRUE,TRUE,TRUE,99,FALSE,FALSE,TRUE,6
178,,FTL- Refrigerated,TRUE,TRUE,TRUE,TRUE,99,FALSE,FALSE,TRUE,7
179,,AOG,TRUE,TRUE,TRUE,FALSE,99,FALSE,FALSE,TRUE,16
180,,Events,TRUE,TRUE,FALSE,FALSE,99,FALSE,FALSE,TRUE,11
181,2,NEXT DAY-DCA,TRUE,TRUE,FALSE,FALSE,99,FALSE,FALSE,TRUE,3
182,3,TWO  DAY-DCA,TRUE,TRUE,FALSE,FALSE,99,FALSE,FALSE,TRUE,4
183,,OTR SELECT,TRUE,TRUE,TRUE,TRUE,99,FALSE,FALSE,TRUE,7
184,,Work Stge:3 day/less,TRUE,TRUE,TRUE,TRUE,99,FALSE,FALSE,TRUE,0
185,,Urgent:6days or less,TRUE,TRUE,TRUE,TRUE,0,FALSE,FALSE,TRUE,0
186,,Routine:9days/less,TRUE,TRUE,TRUE,TRUE,0,FALSE,FALSE,TRUE,0
187,,Sea:31days or less,TRUE,TRUE,TRUE,TRUE,99,FALSE,FALSE,TRUE,0
188,,D1-Next Business Day,TRUE,TRUE,TRUE,TRUE,99,FALSE,FALSE,FALSE,0
189,,D2- 2nd Business Day,TRUE,TRUE,TRUE,TRUE,99,FALSE,FALSE,FALSE,0
190,,D3-By5thBusiness Day,TRUE,TRUE,TRUE,TRUE,99,FALSE,FALSE,FALSE,0
191,,SG- Next Flight Out,TRUE,TRUE,TRUE,TRUE,99,FALSE,FALSE,FALSE,0
192,,IC,FALSE,TRUE,TRUE,TRUE,0,FALSE,FALSE,FALSE,0
193,,FRT LCL EXP,TRUE,FALSE,FALSE,TRUE,0,FALSE,FALSE,TRUE,0
194,,FRT FCL EXP,TRUE,FALSE,FALSE,TRUE,0,FALSE,FALSE,TRUE,0
195,,FRT LCL IMP,TRUE,FALSE,FALSE,TRUE,0,FALSE,FALSE,TRUE,0
196,,FRT FCL IMP,TRUE,FALSE,FALSE,TRUE,0,FALSE,FALSE,TRUE,0
197,,SVCS LCL EXP,TRUE,FALSE,FALSE,TRUE,0,FALSE,FALSE,TRUE,0
198,,SVCS FCL IMP,TRUE,FALSE,FALSE,TRUE,0,FALSE,FALSE,TRUE,0
199,,SVCS LCL IMP,TRUE,FALSE,FALSE,TRUE,0,FALSE,FALSE,TRUE,0
200,,SVCS FCL EXP,TRUE,FALSE,FALSE,TRUE,0,FALSE,FALSE,TRUE,0
201,,LIVE ANIMALS,TRUE,TRUE,TRUE,FALSE,0,FALSE,FALSE,FALSE,0
